127.0.0.1, 2017-03-04 16:46:29, GET, /, HTTP/1.1, 303, 15.014352
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.262539
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000685
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003349
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001305
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000832
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000577
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000656
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000663
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000978
127.0.0.1, 2017-03-04 16:46:29, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000639
127.0.0.1, 2017-03-04 16:46:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000791
127.0.0.1, 2017-03-04 16:46:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001920
127.0.0.1, 2017-03-04 16:46:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000787
127.0.0.1, 2017-03-04 16:46:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000483
127.0.0.1, 2017-03-04 18:16:53, GET, /, HTTP/1.1, 303, 15.015631
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.241899
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000906
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000623
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001179
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002103
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001786
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001129
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011529
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001056
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000972
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000553
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000949
127.0.0.1, 2017-03-04 18:16:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000586
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts, HTTP/1.1, 200, 0.144959
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003816
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/js/default_index.js, HTTP/1.1, 200, 0.001266
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/css/stupid.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/js/sugar.min.js, HTTP/1.1, 200, 0.000739
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/js/marked.min.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/js/vue.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/js/vue.min.js, HTTP/1.1, 200, 0.002711
127.0.0.1, 2017-03-04 18:17:04, GET, /bhouts/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000418
127.0.0.1, 2017-03-04 18:17:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
